Type,Issue,Topic,Author,Examples,Solution,Electoral Commission website,Electoral Act,Independent Electoral Review,Andrew Geddis' Textbook,General Google
core,People who live very far away/remotely,General,,"I'll be in a remote area during the election with no voting places near me, how can I cast a vote?",,,Special Voting s 61(1)(f) - not practicable for that person to vote at a polling station without incurring hardship or serious inconvience ,"PG 272 - Currently, there are legislative provisions for voting by people living in remote locations who have no access to polling places. People voting from Tokelau, Campbell Island, Raoul Island, Ross Dependency, vessels, offshore installations, remote islands administered by the Department of Conservation, and remote locations overseas can vote by upload/download, post or dictation.
11.72 Remote voters within Aotearoa New Zealand can apply to cast a special vote on the basis that it would not be practicable to vote at a polling place without incurring hardship or serious inconvenience.",,
core,People who live very far away/remotely,ENROLMENT,,,,,,,,
core,People who live very far away/remotely,TURNOUT,,,,"If you’ll be in a remote location during an election – for example a remote New Zealand island administered by the Department of Conservation, an offshore installation, or working on a vessel during the voting period – you may be able to vote using our remote voting services.
- https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place",,,,
core,People on boats (living on boats),General,,"For the past few years, I have been living full-time on a boat.",,,"Electoral Act s 72(11) - a person whose home is on any ship, boat, or vessel permanently located in any harbour shall be deemed to resude in the electoral district in which the wharf or landing place or the main whard or landing place in the harbour is situated.",,,
core,People on boats (living on boats),ENROLMENT,,,,,,,,
core,People on boats (living on boats),TURNOUT,,,,,,,,
core,People working on the sea,General,,"I work on a cruise ship and will be working away from port during election time, how can I enrol and vote?",,,,,,
core,People working on the sea,ENROLMENT,,,,,,,,
core,People working on the sea,TURNOUT,,,,"If you’re working on a ship in port and you’re enrolled or eligible to enrol in the electorate the ship is in, your ship master must let you go ashore to vote. If you’re working on a ship that won’t be in port or will not return to port during the voting period, contact us closer to election time for help with enrolling and voting.
https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place ","Electoral Act s 72(11) - a person whose home is on any ship, boat, or vessel permanently located in any harbour shall be deemed to resude in the electoral district in which the wharf or landing place or the main whard or landing place in the harbour is situated.
Special voting s 61(b)&(c) - the person is intended to be absent from the district or outside NZ on polling day. 
",,,
core,"Military, NZ diplomats - overseas",General,,"I am a member of the New Zealand Defence Force and stationed overseas, can I still enrol to vote?",,,"Electoral Act s 80(3) - Nothing in subsection (1)(a) or (b) applies to public servant or member of the defence force, a head of mission or head of post within the meaning of the Foreign Affairs Act 1988, an officer or employee of New Zealand Trade or Enterprise. ",,,
core,"Military, NZ diplomats - overseas",ENROLMENT,,,,You can enrol and vote no matter how long you've been outside of New Zealand if you are one of the following: public servant working overseas and their families; New Zealand diplomats or trade representatives and their families; members of the New Zealand Defence Force and their families. - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote,,,,
core,"Military, NZ diplomats - overseas",TURNOUT,,,,"Special vote, upload....",,,,
core,Military at a training camp,General,,,,,"Electoral Act s 80(3)(a)(i) - disqualifcation not including members of the Defence force.
Special voting s 61(b)&(c) - the person is intended to be absent from the district or outside NZ on polling day. ",,,
core,Military at a training camp,ENROLMENT,,,,,,,,
core,Military at a training camp,TURNOUT,,,,,,,,
core,"Living somewhere temporarily for work for like a few months e.g. seasonal workers, sharemilkers, off somewhere training",General,,,,,"Electoral Act Special voting s 61(b)&(c) - the person is intended to be absent from the district or outside NZ on polling day
S 162 Employees to have time off to vote",,,
core,"Living somewhere temporarily for work for like a few months e.g. seasonal workers, sharemilkers, off somewhere training",ENROLMENT,,,,,,,,
core,"Living somewhere temporarily for work for like a few months e.g. seasonal workers, sharemilkers, off somewhere training",TURNOUT,,,,,,,,
core,Gender diverse people,General,,"My preffered name differs from my legal name, and has not been legally changed from my birth name. I am concerned about being questioned or outed in public when I go to vote",,,Electoral Act s 83(2)(a) - application for registration as an elector must include the applicants full name,PG 271 - Electoral Commission advised that the use of A preferred name for enrolment is already allowed as the Electoral Act does not specifically require a person’s legal name on an enrolment application – it only requires a full name.,,
core,Gender diverse people,ENROLMENT,,,,,,,,
core,Gender diverse people,TURNOUT,,,,,,,,
core,People who live in a rest home,General,,"I live in a residential care facility and can't enrol or vote on my own, I have no family to help me with this, how can I ensure my vote is casted.",,,"Electoral Act Special Voting - s 61(d) the person is, by reason of illness, infirmity, pregnancy, or recent childbirth, unable to attend to vote and any polling place in the district. 
S 61(f) ... not practicable for that person to vote at the polling place in the district without incurring hardship or serious inconvenience.","PG 271/272 - The Electoral Commission provides enrolment and voting services to people receiving care in residential facilities, such as aged-care facilities, hospitals and mental health in-patient units. 
There are potential risks (although not common) to the ability of people in residential facilities to exercise their political rights. Emphasises the importance of the Electoral Commission continuing to work with staff in these facilities to ensure that all eligible residents are given the opportunity to exercise their right to vote. ",,
core,People who live in a rest home,ENROLMENT,,,,,,,,
core,People who live in a rest home,TURNOUT,,,,"If you are in a care home and you won’t be able to go to a voting place, you don’t need to contact us. Your local Electorate Manager will contact the manager of your care home to arrange voting services.
- https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place",,,,
core,Essential workers / Working on election day,General,,"I'm an essential worker who is working on election day, can I leave work to vote?",,,Electoral Act s 162 Employees to have time off to vote,,,
core,Essential workers / Working on election day,ENROLMENT,,,,,,,,
core,Essential workers / Working on election day,TURNOUT,,,,"You’re legally allowed to have time away from work to go and vote on election day. You can also vote early at an advance voting place. If you haven’t had a reasonable chance to vote before starting work on election day and you’re not doing any essential work or service, your employer must let you leave work to vote by 3pm. You’re legally allowed to be away from work for the rest of the day if you need that time to vote.
Your employer can’t take money from your pay for time you take off to vote.
If you have to work after 3pm to carry out any essential work or service, your employer must let you leave work for a reasonable time earlier in the day, so you can vote. Your employer can’t take money from your pay for time you take off to vote, as long as you don’t take more than 2 hours.
https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place",,,,
core,Shift workers,General,,"I work night shifts and sleep during the day, how can I cast my vote ",,,"Electoral Act s 162 Employees to have time off to vote
Special Voting s 61(f) ... not practicable for that person to vote at the polling place in the district without incurring hardship or serious inconvenience.",,,
core,Shift workers,ENROLMENT,,,,,,,,
core,Shift workers,TURNOUT,,,,Advance voting; Takeaway vote...?,,,,
core,Living/currently overseas,General,,,,,"Electoral Act s 80(1)(a) - Citizen living outside of NZ and has not been in NZ within the last 3 years are disqualified.
S 80(1)(b) - a resident who is outside of NZ and has not been in NZ within the last 12 months are disqualified for registration. 
S 61(c) Special Voters - the person intends to be outside New Zealand on polling day.",,"4.2.4 Exceptions to the right to vote
Pg 63 - New Zealand citizens who reside outside the country and have not visited Aotearoa New Zealand within a three-year period, or permanent residents who reside outside the country and have not visited it within 12 months. However, citizens immediately regain the right to register on the electoral roll upon their re-entry into Aotearoa New Zealand for any period of time, while permanent residents do so once they re-establish their “residency” in Aotearoa New Zealand.",
